C000 JMP A:00 X:00 Y:00 P:24 SP:FD
C5F4 RTI A:04 X:55 Y:00 P:24 SP:30
  A5 BRK A:FF X:00 Y:48 P:A4 SP:0E
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:27
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:1F
371E BRK A:B1 X:B1 Y:E4 P:A5 SP:1C
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:11
 2ED BRK A:B1 X:B1 Y:E4 P:A5 SP:0C
3518 BRK A:B1 X:B1 Y:E4 P:A5 SP:06
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:FB
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:F5
3312 NOP A:B1 X:B1 Y:E4 P:A5 SP:F0
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:E5
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:DF
310C BRK A:B1 X:B1 Y:E4 P:A5 SP:DA
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:CF
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:C9
2F06 BRK A:B1 X:B1 Y:E4 P:A5 SP:C4
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:B9
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:B3
2D00 BRK A:B1 X:B1 Y:E4 P:A5 SP:AE
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:A3
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:9D
2AFA NOP A:B1 X:B1 Y:E4 P:A5 SP:98
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:8F
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:87
28F4 BRK A:B1 X:B1 Y:E4 P:A5 SP:82
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:79
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:71
26EE BRK A:B1 X:B1 Y:E4 P:A5 SP:6C
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:63
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:5B
24E8 BRK A:B1 X:B1 Y:E4 P:A5 SP:56
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:4D
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:45
22E2 NOP A:B1 X:B1 Y:E4 P:A5 SP:40
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:37
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:2F
20DC BRK A:B1 X:B1 Y:E4 P:A5 SP:2A
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:21
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:19
3EAC BRK A:B1 X:B1 Y:E4 P:A5 SP:16
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:0B
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:03
3CA6 BRK A:B1 X:B1 Y:E4 P:A5 SP:00
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:F5
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:ED
3AA0 BRK A:B1 X:B1 Y:E4 P:A5 SP:EA
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:DF
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:D7
389A NOP A:B1 X:B1 Y:E4 P:A5 SP:D4
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:C9
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:C1
3694 BRK A:B1 X:B1 Y:E4 P:A5 SP:BE
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:B3
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:AD
348E BRK A:B1 X:B1 Y:E4 P:A5 SP:A8
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:9D
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:97
3288 BRK A:B1 X:B1 Y:E4 P:A5 SP:92
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:87
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:81
3082 NOP A:B1 X:B1 Y:E4 P:A5 SP:7C
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:71
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:6B
2E7C BRK A:B1 X:B1 Y:E4 P:A5 SP:66
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:5B
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:55
2C76 BRK A:B1 X:B1 Y:E4 P:A5 SP:50
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:45
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:3F
2A70 BRK A:B1 X:B1 Y:E4 P:A5 SP:3A
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:31
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:29
286A NOP A:B1 X:B1 Y:E4 P:A5 SP:24
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:1B
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:13
2664 BRK A:B1 X:B1 Y:E4 P:A5 SP:0E
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:05
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:FD
245E BRK A:B1 X:B1 Y:E4 P:A5 SP:F8
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:EF
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:E7
2258 BRK A:B1 X:B1 Y:E4 P:A5 SP:E2
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:D9
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:D1
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:C9
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:C3
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:BB
3E22 NOP A:B1 X:B1 Y:E4 P:A5 SP:B8
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:AD
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:A5
3C1C BRK A:B1 X:B1 Y:E4 P:A5 SP:A2
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:97
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:8F
3A16 BRK A:B1 X:B1 Y:E4 P:A5 SP:8C
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:81
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:79
3810 BRK A:B1 X:B1 Y:E4 P:A5 SP:76
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:6B
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:63
360A NOP A:B1 X:B1 Y:E4 P:A5 SP:60
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:55
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:4F
3404 BRK A:B1 X:B1 Y:E4 P:A5 SP:4A
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:3F
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:39
31FE BRK A:B1 X:B1 Y:E4 P:A5 SP:34
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:29
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:23
2FF8 BRK A:B1 X:B1 Y:E4 P:A5 SP:1E
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:13
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:0D
2DF2 NOP A:B1 X:B1 Y:E4 P:A5 SP:08
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:FD
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:F7
2BEC BRK A:B1 X:B1 Y:E4 P:A5 SP:F2
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:E7
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:E1
29E6 BRK A:B1 X:B1 Y:E4 P:A5 SP:DC
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:D3
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:CB
27E0 BRK A:B1 X:B1 Y:E4 P:A5 SP:C6
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:BD
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:B5
25DA NOP A:B1 X:B1 Y:E4 P:A5 SP:B0
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:A7
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:9F
23D4 BRK A:B1 X:B1 Y:E4 P:A5 SP:9A
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:91
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:89
21CE BRK A:B1 X:B1 Y:E4 P:A5 SP:84
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:7B
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:73
3F9E BRK A:B1 X:B1 Y:E4 P:A5 SP:70
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:65
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:5D
3D98 BRK A:B1 X:B1 Y:E4 P:A5 SP:5A
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:4F
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:47
3B92 NOP A:B1 X:B1 Y:E4 P:A5 SP:44
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:39
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:31
398C BRK A:B1 X:B1 Y:E4 P:A5 SP:2E
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:23
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:1B
3786 BRK A:B1 X:B1 Y:E4 P:A5 SP:18
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:0D
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:05
3580 BRK A:B1 X:B1 Y:E4 P:A5 SP:02
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:F7
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:F1
337A NOP A:B1 X:B1 Y:E4 P:A5 SP:EC
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:E1
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:DB
3174 BRK A:B1 X:B1 Y:E4 P:A5 SP:D6
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:CB
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:C5
2F6E BRK A:B1 X:B1 Y:E4 P:A5 SP:C0
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:B5
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:AF
2D68 BRK A:B1 X:B1 Y:E4 P:A5 SP:AA
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:9F
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:99
2B62 NOP A:B1 X:B1 Y:E4 P:A5 SP:94
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:8B
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:83
295C BRK A:B1 X:B1 Y:E4 P:A5 SP:7E
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:75
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:6D
2756 BRK A:B1 X:B1 Y:E4 P:A5 SP:68
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:5F
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:57
2550 BRK A:B1 X:B1 Y:E4 P:A5 SP:52
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:49
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:41
234A NOP A:B1 X:B1 Y:E4 P:A5 SP:3C
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:33
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:2B
2144 BRK A:B1 X:B1 Y:E4 P:A5 SP:26
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:1D
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:15
3F14 BRK A:B1 X:B1 Y:E4 P:A5 SP:12
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:07
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:FF
3D0E BRK A:B1 X:B1 Y:E4 P:A5 SP:FC
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:F1
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:E9
3B08 BRK A:B1 X:B1 Y:E4 P:A5 SP:E6
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:DB
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:D3
3902 NOP A:B1 X:B1 Y:E4 P:A5 SP:D0
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:C5
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:BD
36FC BRK A:B1 X:B1 Y:E4 P:A5 SP:BA
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:AF
 2CB BRK A:B1 X:B1 Y:E4 P:A5 SP:AA
34F6 BRK A:B1 X:B1 Y:E4 P:A5 SP:A4
